word,definition,example
a,One; an indefinite article used before singular nouns beginning with a consonant sound.,I saw a cat in the garden.
abandon,To leave completely and finally; to give up.,They had to abandon their car after it broke down in the desert.
ability,The power or skill to do something.,She has the ability to speak three languages fluently.
able,"Having the power, skill, or opportunity to do something.",She's able to speak three languages fluently.
abortion,The termination of a pregnancy.,She decided to have an abortion after learning about severe fetal abnormalities.
about,On the subject of; concerning.,I'm reading a book about ancient Egypt.
above,Higher than something else.,The airplane flew above the clouds.
abroad,In or to a foreign country.,We are going abroad for our summer vacation.
absence,The state of being away from a place or person.,Her absence was felt by everyone at the meeting.
absolute,Complete and without any limits or conditions.,The king held absolute power over his kingdom.
absolutely,Completely; without a doubt.,Are you sure you want to go skydiving? Absolutely!
absorb,To soak up or take in something.,The sponge absorbed the spilled milk.
abuse,"To treat someone cruelly or violently, often repeatedly.",The coach was fired after allegations of verbally abusing his players surfaced.
academic,"Relating to education, especially higher education or scholarly study.",The professor's writing style was very academic and difficult to understand.
accept,To willingly receive or agree to something offered or proposed.,I accept your apology.
access,The ability or right to use or enter something.,You need a password to access the building.
accident,An unintentional event that causes damage or injury.,She was late to work because she was in a car accident.
accompany,To go somewhere with someone.,I will accompany you to the doctor's appointment.
accomplish,To successfully complete or achieve something.,She worked hard to accomplish her goal of running a marathon.
according,As stated by or agreed to by someone or something.,"According to the weather forecast, it will rain tomorrow."
account,,
accurate,Correct and without mistakes.,The weather forecast was surprisingly accurate today.
accuse,To state that someone has done something wrong or illegal.,The police accuse him of stealing the car.
achieve,To successfully complete something or reach a goal.,She worked hard to achieve her dream of becoming a doctor.
achievement,"Something accomplished successfully, especially by effort or skill.",Winning the marathon was her greatest achievement.
acid,A chemical substance with a sour taste that can dissolve or corrode other substances.,Lemon juice is acidic.
acknowledge,To accept or admit that something is true or exists.,Please acknowledge receipt of this email.
acquire,"To gain possession of something, often by purchase or effort.",She hopes to acquire a new car next year.
across,From one side to the other of something.,The cat walked across the street.
act,To do something; to perform an action.,Please act quickly in an emergency.
action,The process of doing something; a thing done.,His quick action saved the child from the oncoming car.
active,Taking part; doing things; not idle.,"She's very active in her local community, volunteering every week."
activist,A person who works to bring about political or social change.,The activist organized a protest against the new environmental regulations.
activity,"Something done for enjoyment, work, or a specific purpose.",Hiking is a great outdoor activity.
actor,"A person who performs in a play, movie, or television show.",The actor gave a moving performance in the lead role.
actress,"A female who performs in a play, movie, or television show.",The actress gave a moving performance in the play.
actual,"Real or existing in fact, not imagined or pretended.",That's not a toy gun; it's an actual weapon.
actually,In fact; really; surprisingly.,"I thought I wouldn't like sushi, but I actually loved it!"
ad,,
adapt,To change in order to fit new conditions or a new situation.,Fish have adapted to live in water.
add,To combine two or more numbers or things to get a total.,Please add sugar to your tea.
addition,The process of adding numbers together to find their total.,The addition of 2 and 3 equals 5.
additional,Added or extra.,Could you please bring me an additional chair?
address,A location where someone lives or an organization is situated.,What's your new address so I can send you a postcard?
adequate,Enough or satisfactory for a particular purpose.,"The tent was adequate for our camping trip, keeping us dry during the light rain."
adjust,To change something slightly to make it better or more suitable.,"Please adjust the volume of the music, it's too loud."
adjustment,A small change to something to improve it or make it fit better.,She made a small adjustment to the strap of her backpack.
administration,The process or activity of managing or organizing something.,The hospital's administration is working to improve patient care.
administrator,A person responsible for managing or supervising an organization or system.,The school administrator handled student discipline and ensured the smooth running of the campus.
admire,To regard with respect or approval.,I admire her dedication to animal rescue.
admission,"The act of entering a place, or the permission to enter.",The admission fee to the museum is $10.
admit,To confess or acknowledge something is true or to allow someone or something to enter.,"I had to admit that I was wrong, and they wouldn't admit me to the party without an invitation."
adolescent,"A young person transitioning from childhood to adulthood, typically between the ages of 13 and 19.","My younger sister is an adolescent, so she's dealing with a lot of changes."
adopt,"To legally take a child into your family and raise them as your own, or to take up or start to use a particular method, practice, or idea.",We decided to adopt a dog from the local animal shelter.
adult,,
advance,To move forward or make progress.,The army continued its advance into enemy territory.
advanced,Highly developed or skilled; beyond a basic level.,She took an advanced calculus class in her senior year of high school.
advantage,A condition or circumstance that puts one in a favorable or superior position.,Having a good education gave her an advantage in the job market.
adventure,An exciting or unusual experience.,Their camping trip turned into a real adventure when they got lost in the woods.
advertising,"The activity of attracting public attention to a product or business, typically through paid announcements in the media.",The company spent millions on advertising during the Super Bowl.
advice,Guidance or recommendations offered to someone about what they should do.,I asked my mom for advice about my new job.
advise,To offer suggestions or recommendations about a course of action.,I would advise you to bring an umbrella; it looks like it might rain.
adviser,"A person who gives advice, typically someone with expertise in a particular area.",The president relies on his economic adviser for guidance on financial policy.
advocate,To publicly support or recommend a particular cause or policy.,She is a passionate advocate for animal rights.
affair,"A secret romantic relationship; or, a matter or event of public concern.",She had an affair with her boss; the scandal was a major political affair.
affect,To have an influence on or make a change to something.,The rain will likely affect our plans for a picnic.
afford,To have enough money to buy something.,I can't afford a new car right now.
afraid,Feeling fear or anxiety; scared.,I am afraid of spiders.
African,"Relating to, originating from, or characteristic of Africa or its people.",The Sahara Desert is a major African landmark.
African-American,A U.S. citizen of African descent.,Maya Angelou was a famous African-American writer and poet.
after,Following in time or sequence.,We went to the park after lunch.
afternoon,The time from noon until evening.,I'm going to the park this afternoon.
again,One more time; another instance.,Could you please say that again?
against,In opposition to or in contact with.,The ladder is leaning against the wall.
age,The length of time someone or something has existed.,What is your age?
agency,The ability to act or produce an effect.,The students felt they had no agency in deciding the school's new policies.
agenda,A list of things to be discussed or done at a meeting or event.,The first item on the agenda is the review of last month's sales figures.
agent,A person or thing that acts or has the power to act.,The real estate agent helped us find our dream home.
aggressive,"Forceful, pushy, or hostile.","The salesperson's aggressive tactics made me uncomfortable, so I left the store."
ago,Before the present; in the past.,I saw him a week ago.
agree,To have the same opinion or feeling as someone else.,"I agree with you, we should go to the park."
agreement,A situation in which people share the same opinion or have decided to do the same thing.,They signed an agreement to end the conflict.
agricultural,Relating to farming or the cultivation of land.,"This region is heavily agricultural, producing a lot of corn and soybeans."
ah,"An exclamation of understanding, realization, or surprise.","Ah, now I understand why the car wouldn't start!"
ahead,In front; further forward in space or time.,"The car in front of us is driving too slowly, we need to get ahead."
aid,Help or support given to someone or something.,The country sent aid to the victims of the earthquake.
aide,"A person who assists another person, usually with a specific task or area of responsibility.",The senator's aide prepared a briefing on the upcoming vote.
AIDS,"A disease caused by HIV that weakens the immune system, making it hard to fight off infections and illnesses.",He was diagnosed with AIDS after living with HIV for many years.
aim,To point or direct something at a target.,He aimed the arrow carefully before releasing it.
air,"The invisible mixture of gases, mainly nitrogen and oxygen, that surrounds the Earth and that we breathe.",I opened the window to let in some fresh air.
aircraft,"A machine capable of flight, such as an airplane or helicopter.","The aircraft circled the airport, waiting for clearance to land."
airline,A company that provides air transport services for passengers or cargo.,I booked a flight to Paris with a popular airline.
airport,"A place where aircraft regularly land and take off, with facilities for passengers and cargo.",We need to leave for the airport three hours before our flight.
album,"A collection of songs or musical pieces, typically released together as a set.",I bought the new Taylor Swift album yesterday.
alcohol,"A colorless, flammable liquid used in drinks and as a solvent.",Many beers contain around 5% alcohol.
alive,Living; not dead.,The kitten was still alive after the rescue.
all,Every member or part of something.,All the students passed the exam.
alliance,A formal agreement between two or more groups to cooperate for mutual benefit.,The countries formed an alliance to protect themselves from invasion.
allow,To permit or let something happen.,My parents don't allow me to stay out past midnight.
ally,"A person, group, or nation that is associated with another for some common cause or purpose.",France was an important ally to the United States during the American Revolution.
almost,Not quite; nearly.,I almost missed the bus this morning.
alone,Without anyone else present; solitary.,I like to be alone sometimes to read a book.
along,,
already,"Before now, or earlier than expected.","I've already finished my homework, so I can watch a movie."
also,in addition; too.,"I would like coffee, and I also want a piece of cake."
alter,To change or modify something.,I need to alter the length of these pants.
alternative,A different option or possibility.,"If this train is delayed, we have the alternative of taking the bus."
although,Despite the fact that; even though.,"Although it was raining, we still went for a walk."
always,Every time; on every occasion; forever.,The sun always rises in the east.
AM,"The first-person singular present form of the verb ""to be.""",I am going to the store.
amazing,Causing great surprise or wonder; extremely impressive.,The acrobat's performance was truly amazing!
American,A person from or relating to the United States of America.,"My friend is American, but she lives in France."
among,In the middle of or surrounded by.,The lost key was hidden among the pile of clothes.
amount,A quantity of something.,The recipe calls for a small amount of salt.
analysis,Detailed examination of the elements or structure of something.,The analyst's analysis of the financial statements revealed a concerning trend.
analyst,,
analyze,To examine something carefully and in detail in order to understand it better.,The scientists will analyze the data to determine if the new drug is effective.
ancient,Very old; belonging to a time long ago.,The archaeologist discovered ancient pottery shards at the dig site.
and,"Used to connect words, phrases, or clauses that are similar or related.",I like to eat pizza and ice cream.
anger,"A strong feeling of annoyance, displeasure, or hostility.",She felt a surge of anger when she saw the damage to her car.
angle,The space between two lines or surfaces that meet at a point.,The lamp is at a perfect angle to illuminate my book.
angry,Feeling or showing strong displeasure or hostility.,She was angry that he had lied to her.
animal,"A living being that is not a plant or a human, and can move.",The lion is a powerful animal.
anniversary,The date on which an event took place in a previous year.,They celebrated their 10th wedding anniversary with a trip to Hawaii.
announce,To make something known publicly or officially.,The company will announce its new product next week.
annual,Happening once a year.,The company holds its annual Christmas party in December.
another,One more; an additional or different one.,"Could I have another slice of pizza, please?"
answer,A reply to a question or a solution to a problem.,"The teacher asked a question, and I raised my hand to give the answer."
anticipate,To expect or predict something.,"I anticipate rain later today, so I'll bring an umbrella."
anxiety,"A feeling of worry, nervousness, or unease about something with an uncertain outcome.",She felt a wave of anxiety before her job interview.
any,"One or some of a quantity, typically a large one, without specification.",Do you have any spare change?
anybody,Any person.,Does anybody know the way to the library?
anymore,At the present time; any longer.,I don't live here anymore.
anyone,Any person; any individual.,Did anyone see who took my keys?
anything,Any thing at all; something of any kind.,Do you need anything from the grocery store?
anyway,Despite something; regardless; used to change the subject or return to a previous one.,"It was raining, but I went for a walk anyway."
anywhere,In or to any place.,"You can sit anywhere you like, the chairs are all free."
apart,Separated by distance or time.,They live miles apart but still talk every day.
apartment,A self-contained housing unit that is part of a larger building.,I live in a small apartment downtown.
apparent,Easily seen or understood.,It was apparent from her smile that she was happy.
apparently,Seemingly; as far as one can tell.,"Apparently, the train is running late today."
appeal,"To make a serious or urgent request, often to a higher authority.",The animal shelter made an appeal for donations to help care for the rescued puppies.
appear,To become visible or noticeable; to come into sight.,The sun began to appear from behind the clouds.
appearance,The way someone or something looks.,Her appearance changed drastically after she dyed her hair blonde.
apple,"A round fruit with firm, crisp flesh and a thin skin, typically red, green, or yellow.",I packed an apple for my lunch.
application,"A program designed for a specific task, or the act of putting something to use.",I downloaded a new photo editing application to my phone.
apply,To make a formal request or be relevant/suitable.,Please apply for the job online.
appoint,To assign someone a job or role.,The manager will appoint a new team leader next week.
appointment,A fixed time to meet someone or do something.,I have a doctor's appointment next Tuesday.
appreciate,To recognize the good qualities of someone or something; to be thankful for something.,I really appreciate your help with moving the furniture.
approach,To move closer to someone or something; a way of dealing with a problem.,The cat slowly approached the mouse.
appropriate,"Suitable or fitting for a particular purpose, person, or occasion.",Wearing a swimsuit to a wedding would not be considered appropriate.
approval,The feeling of agreeing with or liking something.,The boss gave his approval for the new marketing campaign.
approve,To officially agree to or accept something.,The city council needs to approve the budget before it can be implemented.
approximately,Nearly or about.,The meeting will last approximately one hour.
Arab,"A person whose origin is from an Arab country, where Arabic is a primary language, or who identifies as Arab culturally.",My neighbor is Arab and makes delicious baklava.
architect,A person who designs buildings and often supervises their construction.,The architect showed us the blueprints for the new museum.
area,The amount of space inside a two-dimensional shape.,The area of the rug is 12 square feet.
argue,To express disagreement or present reasons for or against something.,They argued about which movie to watch.
argument,"A reasoned set of statements to persuade someone of a viewpoint, or a heated disagreement.",The lawyer presented a compelling argument that proved his client's innocence.
arise,To come into existence or begin to occur; to get up.,"A problem arose during the meeting, and we had to find a solution."
arm,A limb extending from the shoulder to the hand.,She carried the baby in her arms.
armed,Carrying a weapon or equipped with weapons.,The bank robber was armed with a handgun.
army,A large organized group of soldiers trained to fight on land.,The army was deployed to protect the border.
around,In a circular direction or approximately.,The kids were running around the backyard.
arrange,To put things in a particular order or position.,Please arrange the books alphabetically on the shelf.
arrangement,The way things are organized or placed.,The florist created a beautiful flower arrangement for the wedding.
arrest,"To take someone into custody, usually for breaking the law.",The police arrested the suspect at the scene of the crime.
arrival,The act of reaching a place.,The train's arrival was delayed by an hour.
arrive,To reach a destination.,The train arrived at the station on time.
art,"The expression or application of human creative skill and imagination, typically in a visual form such as painting or sculpture, producing works to be appreciated primarily for their beauty or emotional power.",The museum displayed a collection of modern art.
article,"A piece of writing included with others in a newspaper, magazine, or website.",I read an interesting article about the benefits of meditation this morning.
artist,"A person who creates art, especially paintings, sculptures, or drawings.","The artist spent hours in her studio, perfecting her latest sculpture."
